Permission,Tag
android.permission.NEARBY_WIFI_DEVICES,LOC
android.permission.PACKAGE_USAGE_STATS,DEV_ATTR
android.permission.POST_NOTIFICATIONS,PUS
android.permission.QUERY_ALL_PACKAGES,DEV_ATTR
android.permission.READ_BASIC_PHONE_STATE,"DEV_ID, CALL"
android.permission.READ_CALENDAR,ACC
android.permission.READ_CALL_LOG,"CALL, CNT"
android.permission.READ_CONTACTS,CNT
android.permission.READ_EXTERNAL_STORAGE,MED
android.permission.READ_MEDIA_AUDIO,"MED, MIC"
android.permission.READ_MEDIA_IMAGES,MED
android.permission.READ_MEDIA_VIDEO,MED
android.permission.READ_MEDIA_VISUAL_USER_SELECTED,MED
android.permission.READ_PHONE_NUMBERS,"CALL, ACC"
android.permission.READ_PHONE_STATE,"DEV_ID, CALL"
android.permission.READ_PRECISE_PHONE_STATE,"DEV_ID, CALL"
android.permission.READ_SYNC_SETTINGS,DEV_ATTR
android.permission.READ_SYNC_STATS,DEV_ATTR
android.permission.RECEIVE_BOOT_COMPLETED,DEV_ATTR
android.permission.RECORD_AUDIO,MIC
android.permission.SEND_SMS,"SMS, CNT"
android.permission.USE_BIOMETRIC,DEV_ID
android.permission.USE_FINGERPRINT,DEV_ID
android.permission.USE_SIP,CALL
android.permission.UWB_RANGING,LOC
android.permission.WRITE_CALENDAR,ACC
android.permission.WRITE_CALL_LOG,CALL
android.permission.WRITE_CONTACTS,CNT
android.permission.WRITE_EXTERNAL_STORAGE,MED
